run_id,round,phase,case_id,request_id,outcome,reason_code,t0_input_arrival_ns,t1_preprocess_end_ns,t2_packing_end_ns,t3_inference_start_ns,t4_inference_end_ns,t5_postprocess_end_ns,t6_adapter_end_ns,t7_plan_ready_ns,preprocess_ms,packing_ms,inference_setup_ms,model_inference_ms,postprocess_ms,adapter_ms,plan_validation_ms,pre_model_ms,post_model_ms,planner_e2e_ms,model_only_ms,planner_overhead_ms,missing_stages,stage_source,outcome_detail,model_id,model_sha256,config_id,dataset_version,git_sha,wall_time_utc
b3-20260918T100755Z-35051d77,20,measured,model-only,modelonly-model-only-0020,READY,MODEL_ONLY,7734091575900,,,7734091576400,7734094115900,,,,,,,2.5395,,,,0.0005,,,2.5395,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,21,measured,model-only,modelonly-model-only-0021,READY,MODEL_ONLY,7734094130500,,,7734094131000,7734097486200,,,,,,,3.3552,,,,0.0005,,,3.3552,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,22,measured,model-only,modelonly-model-only-0022,READY,MODEL_ONLY,7734097501500,,,7734097501900,7734099999600,,,,,,,2.4977,,,,0.0004,,,2.4977,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,23,measured,model-only,modelonly-model-only-0023,READY,MODEL_ONLY,7734100017600,,,7734100018000,7734102590800,,,,,,,2.5728,,,,0.0004,,,2.5728,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,24,measured,model-only,modelonly-model-only-0024,READY,MODEL_ONLY,7734102606700,,,7734102607100,7734105397000,,,,,,,2.7899,,,,0.0004,,,2.7899,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,25,measured,model-only,modelonly-model-only-0025,READY,MODEL_ONLY,7734105431300,,,7734105432700,7734108624800,,,,,,,3.1921,,,,0.0014,,,3.1921,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,26,measured,model-only,modelonly-model-only-0026,READY,MODEL_ONLY,7734108682200,,,7734108684100,7734111434400,,,,,,,2.7503,,,,0.0019,,,2.7503,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,27,measured,model-only,modelonly-model-only-0027,READY,MODEL_ONLY,7734111453800,,,7734111454200,7734114549000,,,,,,,3.0948,,,,0.0004,,,3.0948,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,28,measured,model-only,modelonly-model-only-0028,READY,MODEL_ONLY,7734114580200,,,7734114581500,7734117581500,,,,,,,3.0,,,,0.0013,,,3.0,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,29,measured,model-only,modelonly-model-only-0029,READY,MODEL_ONLY,7734117607800,,,7734117608900,7734120740300,,,,,,,3.1314,,,,0.0011,,,3.1314,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,30,measured,model-only,modelonly-model-only-0030,READY,MODEL_ONLY,7734120767900,,,7734120769000,7734123796400,,,,,,,3.0274,,,,0.0011,,,3.0274,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,31,measured,model-only,modelonly-model-only-0031,READY,MODEL_ONLY,7734123824100,,,7734123825100,7734126823900,,,,,,,2.9988,,,,0.001,,,2.9988,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,32,measured,model-only,modelonly-model-only-0032,READY,MODEL_ONLY,7734126849200,,,7734126849900,7734129644900,,,,,,,2.795,,,,0.0007,,,2.795,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,33,measured,model-only,modelonly-model-only-0033,READY,MODEL_ONLY,7734129678000,,,7734129679300,7734132808800,,,,,,,3.1295,,,,0.0013,,,3.1295,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
