run_id,round,phase,case_id,request_id,outcome,reason_code,t0_input_arrival_ns,t1_preprocess_end_ns,t2_packing_end_ns,t3_inference_start_ns,t4_inference_end_ns,t5_postprocess_end_ns,t6_adapter_end_ns,t7_plan_ready_ns,preprocess_ms,packing_ms,inference_setup_ms,model_inference_ms,postprocess_ms,adapter_ms,plan_validation_ms,pre_model_ms,post_model_ms,planner_e2e_ms,model_only_ms,planner_overhead_ms,missing_stages,stage_source,outcome_detail,model_id,model_sha256,config_id,dataset_version,git_sha,wall_time_utc
b3-20260918T100755Z-35051d77,1,measured,REG_001_basic_clear_seed0#0018,qwen-9605e48374034637a887686607dd1bc5,READY,STUDENT_V0_STRUCTURED,7727774588000,7727787809700,7727788377500,7727788381000,7727796747100,7727796835700,7727797718000,7727798638500,13.2217,0.5678,0.0035,8.3661,0.0886,0.8823,0.9205,13.793,1.8914,24.0505,8.3661,15.6844,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,CX01_urban_intersection_conflict#0019,qwen-c284cf67d6b448d09a06869769e1338e,READY,STUDENT_V0_STRUCTURED,7727798695600,7727807824800,7727809055200,7727809060400,7727817092700,7727817172800,7727817620100,7727818664000,9.1292,1.2304,0.0052,8.0323,0.0801,0.4473,1.0439,10.3648,1.5713,19.9684,8.0323,11.9361,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_C01_night_rain#0020,qwen-da7ebfcfe7ff4d6485062465036eed8e,READY,STUDENT_V0_STRUCTURED,7727818741800,7727826481400,7727827188500,7727827195600,7727835076400,7727835188300,7727835662100,7727836699700,7.7396,0.7071,0.0071,7.8808,0.1119,0.4738,1.0376,8.4538,1.6233,17.9579,7.8808,10.077099999999998,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,SUP_A02_lead_brake_25m_late#0021,qwen-690969d95e2a4439ada68fb14331899d,READY,STUDENT_V0_STRUCTURED,7727836740900,7727844033500,7727844693300,7727844696800,7727852217300,7727852293100,7727852805600,7727853889300,7.2926,0.6598,0.0035,7.5205,0.0758,0.5125,1.0837,7.9559,1.672,17.1484,7.5205,9.627899999999999,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,ACC_A04_static_obstacle_stop#0022,qwen-508899e86ffd48b3b912fa33e7d39c78,READY,STUDENT_V0_STRUCTURED,7727853927700,7727862425500,7727864168500,7727864176100,7727872459400,7727872539700,7727872842400,7727873324900,8.4978,1.743,0.0076,8.2833,0.0803,0.3027,0.4825,10.2484,0.8655,19.3972,8.2833,11.113900000000001,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,B05_smooth_right_curve#0023,qwen-e4fef44dddc847eebfc1000b07bc3271,READY,STUDENT_V0_STRUCTURED,7727873372100,7727880420200,7727880731700,7727880733900,7727889268800,7727889339600,7727889768900,7727890325200,7.0481,0.3115,0.0022,8.5349,0.0708,0.4293,0.5563,7.3618,1.0564,16.9531,8.5349,8.418199999999999,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_A05_adjacent_lane_blocked#0024,qwen-85c5a0ef725e4891a330302c675c54f4,READY,STUDENT_V0_STRUCTURED,7727890367900,7727898247700,7727898630100,7727898632100,7727906320300,7727906390000,7727906697700,7727907150400,7.8798,0.3824,0.002,7.6882,0.0697,0.3077,0.4527,8.2642,0.8301,16.7825,7.6882,9.094299999999999,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_B02_set_speed_30_limit#0025,qwen-1f7713dcde174e069074b6fe2009d954,READY,STUDENT_V0_STRUCTURED,7727907203700,7727915218500,7727915638700,7727915640900,7727923536200,7727923645800,7727924595500,7727925858800,8.0148,0.4202,0.0022,7.8953,0.1096,0.9497,1.2633,8.4372,2.3226,18.6551,7.8953,10.759800000000002,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,SUP_B06_right_offset_recovery#0026,qwen-48d2c614c64d422896ed5c04c120a6ac,READY,STUDENT_V0_STRUCTURED,7727925905700,7727933645400,7727933956700,7727933958600,7727941706100,7727941774400,7727942174700,7727942729800,7.7397,0.3113,0.0019,7.7475,0.0683,0.4003,0.5551,8.0529,1.0237,16.8241,7.7475,9.076600000000003,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_A02_low_ttc_stationary_lead#0027,qwen-55f75af391e443778c923c3b6ea33b28,READY,STUDENT_V0_STRUCTURED,7727942767300,7727949909900,7727950901600,7727950905400,7727959078400,7727959121300,7727959391100,7727960031700,7.1426,0.9917,0.0038,8.173,0.0429,0.2698,0.6406,8.1381,0.9533,17.2644,8.173,9.091399999999998,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
